"host_total_listings_count","room_type","latitude","longitude","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","availability_365","number_of_reviews"
1,"Private room",42.3479555892024,-71.1551960992094,1,1,1,52,1,65,365,26
85,"Entire home/apt",42.3492991237399,-71.0834701237573,1,0,1,110,1,104,107,38
6,"Entire home/apt",42.3419021079422,-71.0737916891459,1,1,1,67,45,56,322,9
1,"Entire home/apt",42.3192348281986,-71.1050159358809,2,2,2,103,8,113,341,49
1,"Entire home/apt",42.3464524732324,-71.1348957434141,1,0,1,8,24,82,41,13
1,"Entire home/apt",42.3425325539937,-71.0538566079723,1.5,1,1,83,2,67,9,2
12,"Entire home/apt",42.3486435768527,-71.0618196769603,1,2,4,87,8,101,144,16
12,"Private room",42.2978045487713,-71.0589276083889,1.5,1,1,319,8,1,346,86
630,"Entire home/apt",42.3397233860746,-71.0483815647563,1,1,1,36,45,112,85,3
364,"Entire home/apt",42.3515631844016,-71.0626611602436,2,2,2,336,1,4,362,2
1,"Private room",42.3456025618562,-71.0757107045271,1,1,1,8,1,1,0,3
4,"Private room",42.3466280754322,-71.1354993152774,1,1,1,326,8,95,354,6
1,"Private room",42.3051076283657,-71.1064329714123,1.5,1,1,305,14,61,0,9
2,"Private room",42.3062902324352,-71.082711498545,1,1,1,248,1,55,259,19
1,"Entire home/apt",42.3433845137132,-71.0688116781255,1,2,1,147,49,1,0,0
6,"Entire home/apt",42.2791760975937,-71.1327717966485,1,4,9,57,27,36,333,55
1,"Private room",42.3134903547052,-71.1104222342643,1,1,2,352,1,48,158,10
2,"Entire home/apt",42.3592146222327,-71.0499461523512,1,2,2,8,1,1,5,0
1,"Entire home/apt",42.3578881245719,-71.0697001227827,1,0,1,15,1,1,6,3
28,"Private room",42.3457799386351,-71.1504303321332,2,1,2,360,2,2,328,50
2,"Private room",42.3663268532393,-71.0543437678072,1,1,1,93,28,70,6,46
22,"Entire home/apt",42.3544810363974,-71.0613078474818,1,1,1,174,2,4,76,51
3,"Private room",42.3179547676144,-71.1002042572507,1.5,1,1,335,1,35,163,70
12,"Private room",42.2991543311069,-71.0587856410908,1.5,1,1,319,8,1,346,35
25,"Entire home/apt",42.3189282802499,-71.0748175893218,1,2,2,36,2,117,340,7
2,"Entire home/apt",42.344249175209,-71.1559152993253,1,1,1,271,1,1,233,2
49,"Entire home/apt",42.3450788259646,-71.0774000953386,1,1,2,102,1,61,6,8
